[DIAG] Server starting at 2026-06-22T00:41:16.467Z
[2026-06-22T00:41:40.895Z] REQ: GET /src/hooks/useAppointmentNotifications.ts (original: /src/hooks/useAppointmentNotifications.ts)
[2026-06-22T00:41:40.896Z] REQ: GET /src/components/Logo.tsx (original: /src/components/Logo.tsx)
[2026-06-22T00:41:40.898Z] REQ: GET /src/hooks/useTaskNotifications.ts (original: /src/hooks/useTaskNotifications.ts)
[2026-06-22T00:41:40.899Z] REQ: GET /src/utils/subscription-client.ts (original: /src/utils/subscription-client.ts)
[2026-06-22T00:41:40.902Z] REQ: GET /src/components/TrialCountdown.tsx (original: /src/components/TrialCountdown.tsx)
[2026-06-22T00:41:40.914Z] REQ: GET /src/components/ui/dialog.tsx (original: /src/components/ui/dialog.tsx)
[2026-06-22T00:41:40.914Z] REQ: GET /src/utils/server-headers.ts (original: /src/utils/server-headers.ts)
[2026-06-22T00:41:40.916Z] REQ: GET /src/utils/api.ts (original: /src/utils/api.ts)
[2026-06-22T00:41:40.917Z] REQ: GET /src/components/ui/alert.tsx (original: /src/components/ui/alert.tsx)
[2026-06-22T00:41:40.920Z] REQ: GET /src/utils/supabase/info.tsx (original: /src/utils/supabase/info.tsx)
[2026-06-22T00:41:40.921Z] REQ: GET /src/components/ui/input.tsx (original: /src/components/ui/input.tsx)
[2026-06-22T00:41:40.939Z] REQ: GET /src/components/ui/label.tsx (original: /src/components/ui/label.tsx)
[2026-06-22T00:41:40.940Z] REQ: GET /src/components/ui/card.tsx (original: /src/components/ui/card.tsx)
[2026-06-22T00:41:40.943Z] REQ: GET /src/components/ui/utils.ts (original: /src/components/ui/utils.ts)
[2026-06-22T00:41:40.944Z] REQ: GET /src/components/ui/badge.tsx (original: /src/components/ui/badge.tsx)
[2026-06-22T00:41:40.945Z] REQ: GET /src/utils/ai-prefs-client.ts (original: /src/utils/ai-prefs-client.ts)
[2026-06-22T00:41:41.029Z] REQ: GET /src/utils/portal-client.ts (original: /src/utils/portal-client.ts)
[2026-06-22T00:41:41.030Z] REQ: GET /src/hooks/useNotificationPreferences.ts (original: /src/hooks/useNotificationPreferences.ts)
[2026-06-22T00:41:41.090Z] REQ: GET /src/utils/campaigns-client.ts (original: /src/utils/campaigns-client.ts)
[2026-06-22T00:41:41.091Z] REQ: GET /src/utils/inventory-client.ts (original: /src/utils/inventory-client.ts)
[2026-06-22T00:41:41.097Z] REQ: GET /src/utils/quotes-client.ts (original: /src/utils/quotes-client.ts)
[2026-06-22T00:41:41.098Z] REQ: GET /src/utils/project-managers-client.ts (original: /src/utils/project-managers-client.ts)
[2026-06-22T00:41:41.102Z] REQ: GET /src/utils/contacts-client.ts (original: /src/utils/contacts-client.ts)
[2026-06-22T00:41:41.104Z] REQ: GET /src/utils/contacts-diagnostic.ts (original: /src/utils/contacts-diagnostic.ts)
[2026-06-22T00:41:41.106Z] REQ: GET /src/utils/users-client.ts (original: /src/utils/users-client.ts)
[2026-06-22T00:41:41.108Z] REQ: GET /src/utils/bids-client.ts (original: /src/utils/bids-client.ts)
[2026-06-22T00:41:41.110Z] REQ: GET /src/utils/notes-client.ts (original: /src/utils/notes-client.ts)
[2026-06-22T00:41:41.112Z] REQ: GET /src/utils/appointments-client.ts (original: /src/utils/appointments-client.ts)
[2026-06-22T00:41:41.114Z] REQ: GET /src/utils/marketing-client.ts (original: /src/utils/marketing-client.ts)
[2026-06-22T00:41:41.115Z] REQ: GET /src/utils/settings-client.ts (original: /src/utils/settings-client.ts)
[2026-06-22T00:41:41.117Z] REQ: GET /src/utils/tasks-client.ts (original: /src/utils/tasks-client.ts)
[2026-06-22T00:41:41.145Z] REQ: GET /src/utils/server-function-url.ts (original: /src/utils/server-function-url.ts)
[2026-06-22T00:41:41.239Z] REQ: GET /src/utils/ensure-profile.ts (original: /src/utils/ensure-profile.ts)
[2026-06-22T00:41:41.248Z] REQ: GET /src/lib/global-settings.ts (original: /src/lib/global-settings.ts)
[2026-06-22T00:41:41.249Z] REQ: GET /src/utils/inventory-keywords.ts (original: /src/utils/inventory-keywords.ts)
[2026-06-22T00:41:41.443Z] REQ: GET /src/components/LandingPage.tsx (original: /src/components/LandingPage.tsx)
[2026-06-22T00:41:41.587Z] REQ: GET /src/components/ModuleDetail.tsx (original: /src/components/ModuleDetail.tsx)
[2026-06-22T00:41:41.603Z] REQ: GET /src/components/SalesSpaceInfo.tsx (original: /src/components/SalesSpaceInfo.tsx)
[2026-06-22T00:41:41.603Z] REQ: GET /src/components/About.tsx (original: /src/components/About.tsx)
[2026-06-22T00:41:41.607Z] REQ: GET /src/components/DesignSpaceInfo.tsx (original: /src/components/DesignSpaceInfo.tsx)
[2026-06-22T00:41:41.621Z] REQ: GET /src/components/InventorySpaceInfo.tsx (original: /src/components/InventorySpaceInfo.tsx)
[2026-06-22T00:41:41.622Z] REQ: GET /src/components/LumberSuppliersBenefits.tsx (original: /src/components/LumberSuppliersBenefits.tsx)
[2026-06-22T00:41:41.627Z] REQ: GET /src/components/InsightsSpaceInfo.tsx (original: /src/components/InsightsSpaceInfo.tsx)
[2026-06-22T00:41:41.629Z] REQ: GET /src/components/MarketingSpaceInfo.tsx (original: /src/components/MarketingSpaceInfo.tsx)
[2026-06-22T00:41:41.631Z] REQ: GET /src/components/ITSpaceInfo.tsx (original: /src/components/ITSpaceInfo.tsx)
[2026-06-22T00:41:41.633Z] REQ: GET /src/components/HomeImprovementBenefits.tsx (original: /src/components/HomeImprovementBenefits.tsx)
[2026-06-22T00:41:41.635Z] REQ: GET /src/components/ProDeskBenefits.tsx (original: /src/components/ProDeskBenefits.tsx)
[2026-06-22T00:41:41.637Z] REQ: GET /src/assets/landing/spaces/space-insights.svg?import (original: /src/assets/landing/spaces/space-insights.svg?import)
[2026-06-22T00:41:41.639Z] REQ: GET /src/components/KnowledgeBase.tsx (original: /src/components/KnowledgeBase.tsx)
